ID,family,marriage,child's forname(s),child's surname,birth day,birth month,birth year,address,sex,father's forename,father's surname,father's occupation,mother's forename,mother's maiden surname,mother's occupation,day of parents' marriage,month of parents' marriage,year of parents' marriage,place of parent's marriage,illegit,notes,Death,CHILD_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,DEATH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,MARRIAGE_RECORD_IDENTITY2,MARRIAGE_RECORD_IDENTITY3,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5
3020,656,656,Sarah,Novak,20,JANUARY,1855,"1 Muir Road, Welltree, Fife",F,Tim,Novak,LINNEN WEAVER,Regina,Chin, ,19,FEBRUARY,1832,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3020,3020,2551,2550,3020,656,2550,2551,,,,,
3022,664,664,Margaret,Soto,11,OCTOBER,1855,"106 Courthill Street, Dalry, North Ayrshire",F,Michael,Soto,PRIVATE PATIENT,Jane,Grech, ,13,APRIL,1836,"Dalry North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3022,3022,1948,2495,3022,664,2495,1948,,,,,
3024,725,725,Margaret,Szabo,23,AUGUST,1855,"1 Langlands Bank, Wilton, Hawick",F,Tomas,Szabo,JOINER,Annie,Delic,FARMERS SISTER,28,DECEMBER,1844,"Wilton Hawick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,3024,3024,2104,2238,3024,725,2238,2104,,,,,
3026,716,716,Isabella,Jones,15,JANUARY,1855,"1 St Margaret's Drive, West End, Hawick",F,Olivier,Jones,CATTLE DEALER,Maria,Delic, ,20,FEBRUARY,1844,"West End Hawick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,3026,3026,2128,2429,3026,716,2429,2128,,,,,
3028,766,766,Agnes,Larsen,1,SEPTEMBER,1855,"1 Skua Drive, Dalgety Bay, Fife",F,Robert,Larsen,LABOURER,Agnes,Bolkvadze,DRESS MAKER,10,JUNE,1849,"Dalgety Bay Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3028,2234,2121,,766,2121,2234,,,,,
3030,776,776,Ann,Greco,28,OCTOBER,1855,"1 Martin Terrace, Aberdeenshire",F,Jeffrey,Greco,UNDER PERSONS INFANT CHILD OF SAID,Isabella,Molnar, ,24,DECEMBER,1847,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3030,3030,2978,2977,3030,776,2977,2978,1080,,,,
3032,790,790,Margaret,Anderson,27,SEPTEMBER,1855,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",F,Benjamin,Anderson,SCHOOLMASTER,Margaret,Rivera,DAIRY MAID,21,MARCH,1853,"Kincorth Aberdeen City",,SYNTHETIC DATA PRODUCED USING VALIPOP,3032,3032,2412,2915,3032,790,2915,2412,971,,,,
3041,689,689,Annie,Szabo,24,FEBRUARY,1856,"86 Bay View Terrace, Dumfries and Galloway",F,Andrea,Szabo,FOUNDRY LABOURER,Emma,Larsen,FARM SERV,25,JULY,1840,"Dumfries and Galloway",,SYNTHETIC DATA PRODUCED USING VALIPOP,3041,3041,2006,2239,3041,689,2239,2006,,,,,
3042,693,693,Ann,Li,22,DECEMBER,1856,"1 Balgowan Drive, Downfield, Dundee City",F,Mustafa,Li,ROAD INSPECTOR,Katharina,Gonzalez, ,8,SEPTEMBER,1837,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3042,3042,2679,2678,3042,693,2678,2679,,,,,
3048,795,795,Mina,STEWART,16,JUNE,1856,"1 Pairc Uilleim, Highland",F,John,STEWART,CARPENTER,Olivia,Brown,COTTON FACTORY WORKER,14,AUGUST,1853,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3048,3048,2465,2281,3048,795,2281,2465,,,,,
