ID,day,month,year,place of marriage,forename of groom,surname of groom,occupation of groom,marital status of groom,age of groom,address of groom,forename of bride,surname of bride,occupation of bride,marital status of bride,age of bride,address of bride,groom's father's forename,groom's father's surname,groom's father's occupation,if groom's father deceased,groom's mother's forename,groom's mother's maiden surname,if groom's mother deceased,bride's father's forename,bride's father's surname,bride's father's occupation,if bride's father deceased,bride's mother's forename,bride's mother's maiden surname,if bride's mother deceased,notes1,gdeath,bdeath,GROOM_IDENTITY,BRIDE_IDENTITY,GROOM_MOTHER_IDENTITY,GROOM_FATHER_IDENTITY,BRIDE_MOTHER_IDENTITY,BRIDE_FATHER_IDENTITY,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_BIRTH_RECORD_IDENTITY,GROOM_FATHER_BIRTH_RECORD_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY
2051,13,MAY,1970,,Ethan,Navarro,IRON MOULDER,B,22,"1 Braeview, South Broomage, Stenhousemuir",Helen,Lopez,HAWKER,S,31,"1 Braeview, South Broomage, Stenhousemuir",William,Navarro,WEST INDIA MERCHANT,,Clara,Olsson,,James,Lopez,BRACE MAKER,,Sarah,Andersson,,SYNTHETIC DATA PRODUCED USING VALIPOP,6254,5938,6254,5938,6253,6252,5214,4935,6254,5938,6252,6253,4935,5214
2052,16,JANUARY,1970,"Eden House Banff ",Chas,Harutyunyan,BOOT & SHOE MAKER,B,25,"481 Low Road, Highland",Ann,Dumitru,HOUSE SERVT,S,21,"58 Douglas Square, Scottish Borders",Peter,Harutyunyan,MERCHANT,,Ann,Hernandez,,John,Dumitru,OFFICER OF INLAND REVNUE (EXCISE),,Isabella,Larsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,5933,6048,5933,6048,5054,4711,5296,5205,5933,6048,4711,5054,5205,5296
2053,18,MAY,1970,"Dumfries and Galloway",George,Harutyunyan,UPHOLSTERER APPRENTICE,B,28,"1 Newlands Lane North, Cove Bay, Aberdeen City",Kate,Babic,DOMESTIC SERVANT,S,23,"1 Blackpark View, Stranraer, Dumfries and Galloway",Peter,Harutyunyan,COAL MINER,,Catherin,Nguyen,,Robert,Babic,COAL MINER,,Agnes,Visser,,SYNTHETIC DATA PRODUCED USING VALIPOP,5857,6044,5857,6044,4908,4803,5186,4393,5857,6044,4803,4908,4393,5186
2054,20,FEBRUARY,1970,"Hownam Grange Scottish Borders",Angus,Dumitru,SCHOLAR,B,18,"58 Douglas Square, Scottish Borders",Margaret,Wozniak,SCHOLAR,S,19,"1592 Castle Road, South Ayrshire",John,Dumitru,OFFICER OF INLAND REVNUE (EXCISE),,Isabella,Larsson,,Andrew,Wozniak,LATH SPLITTER,,Margaret,Szabo,,SYNTHETIC DATA PRODUCED USING VALIPOP,6169,6118,6169,6118,5296,5205,4870,4817,6169,6118,5205,5296,4817,4870
2055,15,OCTOBER,1970,"Allanbank Lauder ",Lukas,Kuznetsov,SCHOLAR,B,20,"1 Springbank Court, Parkhead, Glasgow City",Helen,Mohan,SEWER AT WHITE SEAM,S,21,"1 Balgonie Woods, Ferguslie Park, Paisley",Tim,Kuznetsov, ,,Anna,Gonzalez,,Josef,Mohan,FISHERMAN,,Elena,Svensson,,SYNTHETIC DATA PRODUCED USING VALIPOP,6567,6120,6567,6120,6566,6565,5650,5649,6567,6120,6565,6566,5649,5650
2057,13,JULY,1970,"Stirling",John,Hernandez,COAL PIT ENGINE KEEPER,B,22,"2 Old St. Andrews Road, Rummond, Fife",Mary,Larsson,SCHOLAR,S,20,"2 Calderpark Road, Baillieston, Glasgow City",Thomas,Hernandez,SHOEMAKER,,Margaret,Kuznetsov,,Hugh,Larsson,COAL MINER,,Eliza,Huseynov,,SYNTHETIC DATA PRODUCED USING VALIPOP,6015,6122,6015,6122,5218,4813,4980,5299,6015,6122,4813,5218,5299,4980
2058,28,AUGUST,1970,"Maybole South Ayrshire",Gergo,Navarro,PLOUGHMAN,B,25,"1 Wishaw Terrace, Craigentinny/Meadowbank, City of Edinburgh",Margaret,Santana,DOMESTIC SERV,S,21,"1 Fairways, Abbotsmeadow, Melrose",William,Navarro,SILK WEAVER,,Clara,Olsson,,Andrew,Santana,CARTER,,Maria,Markovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,6256,6111,6256,6111,6253,6252,4753,4799,6256,6111,6252,6253,4799,4753
2059,20,DECEMBER,1970,"Three Bridges Inveraray ",John,Watanabe,RAILWAY LAB,B,25,"38 The Maltings, Wellwood, Ladybank",Emily,Butkus,DOMESTIC SERV,S,22,"1 South Brae, Bowhouse, Falkirk",John,Watanabe,FURNACEMAN IRON,,Jane,Kuznetsov,,Leon,Butkus, ,,Guorun,Jones,,SYNTHETIC DATA PRODUCED USING VALIPOP,5973,6755,5973,6755,5300,5257,6754,6753,5973,6755,5257,5300,6753,6754
2061,6,MARCH,1970,"Highland",Thomas,Gauthier,SCHOLAR,B,19,"1 Braehouse, Scottish Borders",Lexie,Lopez,SCHOLAR,S,16,"1 Corsar Croft, Kirkton, Angus",Tim,Gauthier,FARMER 118 ACRES,,Jane,Soto,,James,Lopez,BRACE MAKER,,Sarah,Andersson,,SYNTHETIC DATA PRODUCED USING VALIPOP,6207,6308,6207,6308,5294,5358,5214,4935,6207,6308,5358,5294,4935,5214
2062,26,APRIL,1970,"Three Bridges Inveraray ",Angus,Krajnc,LINEN MANUFACTUR CLERK,B,20,"1 Ladylands Drive, Glenburn Hall, Jedburgh",Frances,Rojas,SCHOLAR,S,16,"1 Cornton, Stirling",Henry,Krajnc,SHOEMAKER,,Helen,Larsson,,Alexander,Rojas,ASPHALTE MANUFACTURER,,Leire,Rossi,,SYNTHETIC DATA PRODUCED USING VALIPOP,6171,6318,6171,6318,5350,5073,6068,5801,6171,6318,5073,5350,5801,6068
2063,25,AUGUST,1970,"Dalry North Ayrshire",Thomas,Sanchez,SCHOLAR,B,18,"3 Wooden, Scottish Borders",Peggy,Wozniak,SCHOLAR,S,16,"1 Rathad na Horgh, Na h-Eileanan Siar",James,Sanchez,ACTOR,,Catherine,Wozniak,,George,Wozniak,CABINET MAKER (JOURNEYMAN),,Jemima,Nguyen,,SYNTHETIC DATA PRODUCED USING VALIPOP,6245,6322,6245,6322,5502,5247,5672,5253,6245,6322,5247,5502,5253,5672
2070,6,JULY,1971,"Braeleny Farm Callander ",Samuel,Poulsen,PLOUGHMAN,B,28,"1 Chamberlain Street, Northbank Farm Steadings, St Andrews",Leire,Sanchez,SCHOLAR,S,17,"1 Ewart Walk, The Crichton, Dumfries and Galloway",James,Poulsen,SHOEMAKER (JOURNEYMAN),,Alva,Stefanov,,William,Sanchez, ,,Rowena,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6179,6325,6179,6325,6176,6175,6324,6323,6179,6325,6175,6176,6323,6324
2072,22,DECEMBER,1971,"Dumfries and Galloway",Edward,Babic,FARMER'S SON,B,24,"1 Blackpark View, Stranraer, Dumfries and Galloway",Jane,Iliev,SCHOLAR,S,16,"2 Stewart Cottages, Aberdeenshire",Robert,Babic,COAL MINER,,Agnes,Visser,,Joseph,Iliev,RAILWAY PORTER,,Margaret,Dumitru,,SYNTHETIC DATA PRODUCED USING VALIPOP,6043,6358,6043,6358,5186,4393,5392,5453,6043,6358,4393,5186,5453,5392
2073,8,FEBRUARY,1971,"South Ayrshire",George,Harutyunyan,IRON MINOR,B,25,"481 Low Road, Highland",Margt,Sanchez,SCHOLAR,S,18,"3 Wooden, Scottish Borders",Peter,Harutyunyan,SPADE MANUFACTURER EMPLOYING 4 MEN AND 3 BOYS,,Ann,Hernandez,,James,Sanchez,ACTOR,,Catherine,Wozniak,,SYNTHETIC DATA PRODUCED USING VALIPOP,6081,6364,6081,6364,5054,4711,5502,5247,6081,6364,4711,5054,5247,5502
2080,24,OCTOBER,1972,"Aberdeenshire",Donald,Larsson,A B SEAMAN,B,26,"1 Mill Way, Brora, Highland",Agnes,Larsson,SERV,S,29,"1 Kirkton Gardens, Highland",Donald,Larsson,BUTCHER,,Giovanna,Bogdanov,,Arthur,Larsson,FARMER OF 950 ACRES EMPLOYING 7 LABOURERS,,Jane,Tkachenko,,SYNTHETIC DATA PRODUCED USING VALIPOP,6007,5898,6007,5898,5318,4895,4874,4709,6007,5898,4895,5318,4709,4874
2081,23,MAY,1972,"Coplandhill Aberdeenshire",Joona,Santana,LAB RAILWAY,B,32,"1 Castlefield Apartments, Hilton, Highland",Ann,Grigoryan,DOMESTIC SERVANT,S,30,"1 Stewart Cottages, Aberdeenshire",Matthew,Santana,FARMER,,Ruby,Kobayashi,,Archibald,Grigoryan,LABOURER,,Flora,Garcia,,SYNTHETIC DATA PRODUCED USING VALIPOP,6536,5892,6536,5892,6533,6532,4804,4743,6536,5892,6532,6533,4743,4804
2082,8,SEPTEMBER,1972,"Scottish Borders",Alexander,Martinez,FISHERMAN,B,24,"257 Golf Course Road, Girvan, South Ayrshire",Mary,Wozniak,DOMESTIC SERV,S,25,"47 Scalloway Park, Broadsea, Fraserburgh",William,Martinez,LABOURER IN SHIP YD,,Agnes,Jones,,Richard,Wozniak,WOOLEN WEAVER,,Cath,Larsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,6089,6050,6089,6050,5414,5475,5285,5059,6089,6050,5475,5414,5059,5285
2083,20,SEPTEMBER,1972,"Highland",James,Kovacevic,SCHOLAR,B,18,"1 India Lane, Borrowfield, Montrose",Isabella,de Boer,DAIRY MAID,S,21,"1 Cairns Court, Crieff, Perth and Kinross",David,Kovacevic,CARPENTER,,Christian,Ramirez,,Joseph,de Boer,SHEPHERD,,Nora,Andersson,,SYNTHETIC DATA PRODUCED USING VALIPOP,6315,6166,6315,6166,5462,5497,5838,5347,6315,6166,5497,5462,5347,5838
2084,23,MAY,1972,"Maybole South Ayrshire",Samuel,Jones,ROPEMAKER,B,32,"1 Cobblebrae Crescent, Bainsford, Falkirk",Jean,Muratovic, ,S,21,"2 Loch Park Road, Target Stables, Hawick",Samuel,Jones,AG LABOURER,,Mary,Prochazka,,Wm,Muratovic,DAIRYMAN,,Sarah,WILLIAMS,,SYNTHETIC DATA PRODUCED USING VALIPOP,5719,6156,5719,6156,4608,4453,5090,5351,5719,6156,4453,4608,5351,5090
