Death,MOTHER_IDENTITY,father's forename,father's occupation,sex,FATHER_BIRTH_RECORD_IDENTITY,day of parents' marriage,place of parent's marriage,CHILD_IDENTITY,mother's occupation,family,illegit,DEATH_RECORD_IDENTITY,father's surname,MARRIAGE_RECORD_IDENTITY3,birth day,MARRIAGE_RECORD_IDENTITY2,PARENT_MARRIAGE_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,month of parents' marriage,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5,FATHER_IDENTITY,mother's forename,child's forname(s),mother's maiden surname,birth year,address,ID,MOTHER_BIRTH_RECORD_IDENTITY,notes,child's surname,marriage,year of parents' marriage,birth month
3020,2551,Tim,LINNEN WEAVER,F,2550,19,,3020, ,656,,3020,Novak,,20,,656,,FEBRUARY,,,2550,Regina,Sarah,Chin,1855,"1 Muir Road, Welltree, Fife",3020,2551,SYNTHETIC DATA PRODUCED USING VALIPOP,Novak,656,1832,JANUARY
3022,1948,Michael,PRIVATE PATIENT,F,2495,13,Dalry North Ayrshire,3022, ,664,,3022,Soto,,11,,664,,APRIL,,,2495,Jane,Margaret,Grech,1855,"106 Courthill Street, Dalry, North Ayrshire",3022,1948,SYNTHETIC DATA PRODUCED USING VALIPOP,Soto,664,1836,OCTOBER
3050,2310,Kenneth,BOOT MAKER,F,1925,29,Highland,3050,DOMESTIC SERVANT,767,,3050,Larsson,,1,,767,,DECEMBER,,,1925,Emily,Margeret,Rivera,1856,"32 Gordon Brown Place, Highland",3050,2310,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,767,1849,NOVEMBER
,2670,Richard,PLOUGHMAN,F,2339,4,,3362, ,864,,,CONLLY,,26,,864,,MARCH,,,2339,Annie,Marion,Soto,1866,"2 Scaurs, Jedburgh, Scottish Borders",3362,2670,SYNTHETIC DATA PRODUCED USING VALIPOP,CONLLY,864,1865,FEBRUARY
,5308,Jake,LABOURER (GENL),F,5078,23,North xyrshire,6278,DOMESTIC SERVANT,1725,missing,,Tasev,,29,,1725,,MAY,,,5078,Emma,Tasev,Wozniak,1950,"631 Manse Road, Nortj Ayrshire",6278,5308,SYNTHETIC DATA PRODUCED USING VALIPOP,Jane,1725,1943,OCTOBER
,5450,Charles,MINER,F,5251,5,Scaurs Jedburgh ,6284, ,1766,,,Tkachenko,,27,,1766,,JANUARY,,,5251,Isabella,Jessie,Dumitru,1950,"2 Milfield Gardens, Scaurs, Jedburgh",6284,5450,SYNTHETIC DATA PRODUCED USING VALIPOP,Tkachenko,1766,1947,MAY
,5502,James,COAL MINER,F,5247,17,Wooden Scottish Borders,6286,SCHOLAR,1753,,,Sanchez,,5,,1753,,NOVEMBER,,,5247,Catherine,Mary,Wozniak,1950,"3 Wooden, Scottish Borders",6286,5502,SYNTHETIC DATA PRODUCED USING VALIPOP,Sanchez,1753,1946,AUGUST
,6068,Alexander,SCHOLAR,F,5801,12,Cornton Stirling,6288, ,1769,,,Rojas,,27,,1769,,JUNE,,,5801,Leire,Maggie,Rossi,1950,"1 Cornton, Stirling",6288,6068,SYNTHETIC DATA PRODUCED USING VALIPOP,Rojas,1769,1949,JANUARY
,5833,Donald,WOOL ST?CKING FRAME WORK KNITTER,F,5249,JANUARY,Middle Grange Aberdeenshire,6290, ,1771,,,Grigoryan,,2u,,1771,,10,,,5249,Anna,Grigoryan,Andersson,1950,"2 Pentland Place, Middle Grange, Aberdeenshire",6290,5833,SYNTHETIC DATA PRODUCED USING VALIPOP,Charlotge,1771,1950,JANUARY
,5386,James,IRON SHINGLER,F,4985,2,North Ayrshire,6280, ,1764,,,Prochazka,,14,,1764,2060,MAY,,,4985,Agnes,Bridget,Szabo,1950,"4 Cora Linn Court, North Ayrshire",6280,5386,SYNTHETIC DATA PRODUCED USING VALIPOP,Prochazka,1764,1947,FEBRUARY
,5378,Angus,SEWING MACHINE MAKER,F,5267,8,Fife,6282,WINDER WOOLLEN,1691,,,Harris,,27,,1691,2085,FEBRUARY,,,5267,Agnes,Jane,Garcia,1950,"2 Torrie Wyne, Fife",6282,5378,SYNTHETIC DATA PRODUCED USING VALIPOP,Harris,1691,1943,SEPTEMBER
,5170,William,GLASSBLOWER,F,5245,14,Highland,6268,DAIRYMAID,1761,,,Harutyunyan,,4,,1761,2016,DECEMBER,,,5245,Maggie,Mary,Hernandez,1950,"94 Glebe Park, Highland",6268,5170,SYNTHETIC DATA PRODUCED USING VALIPOP,Harutyunyan,1761,1947,JUNE
,5344,Alick,DRAINER,F,5027,14,Lessudden House Scottish Borders,6312, ,1752,,,Greco,,6,,1752,,NOVEMBER,,,5027,Elspet,Catherine,De Vries,1951,"1 Lessudden House, Scottish Borders",6312,5344,SYNTHETIC DATA PRODUCED USING VALIPOP,Greco,1752,1946,AUGUST
,5458,Aaron,COOPERS APPRENTICE,F,5404,7,Drumbeg Stirling,6316,DOMESTIC SERVANT,1782,,,Ramirez,,25,,1782,,SEPTEMBER,,,5404,Janet,Robina,Brown,1951,"2 Endrick Way, Drumbeg, Stirling",6316,5458,SYNTHETIC DATA PRODUCED USING VALIPOP,Ramirez,1782,1947,JUNE
