if father deceased,MOTHER_IDENTITY,father's forename,death code A,father's occupation,month,FATHER_BIRTH_RECORD_IDENTITY,mar,year,SPOUSE_BIRTH_RECORD_IDENTITY,occupation,mother's occupation,BIRTH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,father's surname,day,marital status,death code B,Birth,forename(s) of deceased,if mother deceased,age at death,FATHER_IDENTITY,mother's forename,SPOUSE_MARRIAGE_RECORD_IDENTITY,mother's maiden surname,name of spouse,SPOUSE_IDENTITY,spouse's occ,death code C,address,sex,ID,MOTHER_BIRTH_RECORD_IDENTITY,notes1,DECEASED_IDENTITY,surname of deceased
D,534,Robert,R53.03,,FEBRUARY,471,341,1859,761,FARMERS AUNT,,922,185,Thill,14,W,R54.05,922,Bridget,D,91,471,Maggie,341,Jensen,Robert STEWART,761,PAUPER,,"1 Law View Gardens, Whallyden, Fife",F,922,534,SYNTHETIC DATA PRODUCED USING VALIPOP,922,Thill
,1762,Noah,R54.03,,NOVEMBER,1761,427,1857,1754, ,,1755,428,Labba,18,W,,1755,Noemie,,82,1761,Madison,427,,Robbe Smit,1754,UNEMPLOYED FORMERLY GAMKEEPER,,"1 Walker Avenue, Eden House, Banff",F,1755,1762,SYNTHETIC DATA PRODUCED USING VALIPOP,1755,Sousa
D,1127,William,G93.90,,JANUARY,823,384,1859,1156,OUTDOOR PAUPER,,1254,286,WILLIAMS,21,M,,1254,Ann,,74,823,Madison,384,Stojanovic,Mathias Jones,1156,LABOURER,,"1 Endrick Way, Drumbeg, Stirling",F,1254,1127,SYNTHETIC DATA PRODUCED USING VALIPOP,1254,WILLIAMS
D,1194,Ricardo,I64.01,,FEBRUARY,1453,640,1878,1865,PAUPER,,1900,404,Mertens,2,M,I51.90,1900,Catherine,D,64,1453,Jane,640,Sanchez,Richard Garcia,1865,AG LABOURER,,"571 Moss Road, Scottish Borders",F,1900,1194,SYNTHETIC DATA PRODUCED USING VALIPOP,1900,Mertens
,3285,Daniel,G93.83,,AUGUST,3284,859,1884,3275,INNKEEPER'S SON,,3274,861,Singh,1,W,,3274,Tobias,,69,3284,Emilie,859,,Lea Gamage,3275, ,,"1 Caldra House, Scottish Borders",M,3274,3285,SYNTHETIC DATA PRODUCED USING VALIPOP,3274,Rossi
,3604,Lewis,R53.03,,JUNE,3603,,1886,,MASON'S LAB,,3605,,Lomidze,19,B,,3605,Lachlan,,71,3603,Hannah,,,,,,,"1 Cornbank, Penicuik, Midlothian",M,3605,3604,SYNTHETIC DATA PRODUCED USING VALIPOP,3605,Lomidze
,2294,Jacob,G83.90,,JANUARY,2293,,1879,,NAILMAKER MASTER EMPLOYING 1 MAN,,2295,580,Martinez,25,B,,2295,Markus,,61,2293,Hannah,,,,,,,"1 Melrose Avenue, Mull, North Lanarkshire",M,2295,2294,SYNTHETIC DATA PRODUCED USING VALIPOP,2295,Martinez
,3272,Luca,J20.91,,APRIL,3271,,1882,,FARMER OF 25 ACRES EMPLOYING 1 MAN 1 BOY & 2 WOMEN,,3273,858,Rojas,19,B,,3273,David,,64,3271,Ellie,,,,,,,"1 Barn Church Road, Pittodrie, Aberdeen City",M,3273,3272,SYNTHETIC DATA PRODUCED USING VALIPOP,3273,Rojas
D,1428,Alexander,R54.05,,FEBRUARY,1305,705,1893,2492,BREWER,,1995,491,Sanchez,25,M,R53.03,1995,David,D,74,1305,Elizabeth,705,STEWART,Antonia Soto,2492, ,,"1 Girnick, Scottish Borders",M,1995,1428,SYNTHETIC DATA PRODUCED USING VALIPOP,1995,Sanchez
D,2312,Rasmus,R02.02,,JANUARY,2311,709,1896,2428,FARMER OF 20 ACRES,,2317,582,Hernandez,2,D,,2317,Alexander,D,77,2311,Catarina,709,Rivera,Michela Jones,2428,SEAMSTRESS,,"1 Under Loan Park, Allanbank, Lauder",M,2317,2312,SYNTHETIC DATA PRODUCED USING VALIPOP,2317,Hernandez
D,1286,Thomas,G83.90,,MARCH,1515,696,1871,2072,GAMEKEEPER,,2021,498,Markovic,4,M,,2021,Donald,D,51,1515,Jane,696,Larsson,Alice Larsen,2072, ,,"1 Steele Croft Road, Highland",M,2021,1286,SYNTHETIC DATA PRODUCED USING VALIPOP,2021,Markovic
D,1290,William,R53.03,,AUGUST,1053,,1890,,SHOE MAKER,,2023,467,Larsson,21,B,,2023,John,D,71,1053,Isabella,,WILLIAMS,,,,,"2 Old St. Andrews Road, Rummond, Fife",M,2023,1290,SYNTHETIC DATA PRODUCED USING VALIPOP,2023,Larsson
D,1637,William,K46.00,,MARCH,1341,,1891,,PAUPER (FORMERLY A GROOM),,2027,451,Garcia,24,B,K55.01,2027,Alexander,D,71,1341,Maria,,Rivera,,,,,"41 Ard Struan Road, Highland",M,2027,1637,SYNTHETIC DATA PRODUCED USING VALIPOP,2027,Garcia
D,2213,Arnas,R09.10,,MAY,2212,839,1891,2336,FISHERMAN & CROFTER,,2215,557,Brankov,26,M,,2215,Michael,D,72,2212,Ella,839,Jarvinen,Catherine White,2336, ,,"1 Stinchar Road, South Ayrshire",M,2215,2213,SYNTHETIC DATA PRODUCED USING VALIPOP,2215,Brankov
D,1328,Robert,I51.90,,JUNE,1309,639,1878,1855,WEAVER,,1904,466,BRADFORD,3,W,,1904,Bridget,D,63,1309,Marija,639,Perez,Farquhar Rasmussen,1855,MASON'S LABOURER,,"1590 Castle Road, South Ayrshire",F,1904,1328,SYNTHETIC DATA PRODUCED USING VALIPOP,1904,BRADFORD
D,2237,Nicholas,I64.01,,OCTOBER,2236,841,1891,2602,CROFTER FARMING 4 AC,,2238,564,Szabo,3,W,,2238,Tomas,D,71,2236,Irem,841,Mulder,Ann Larsson,2602,DRESSMAKER,,"2 Millbank Road, Stranraer, Dumfries and Galloway",M,2238,2237,SYNTHETIC DATA PRODUCED USING VALIPOP,2238,Szabo
,2370,Benjamin,J81.01,,JANUARY,2369,680,1892,1874,CROFTER,,2375,601,Paulauskas,30,R,R04.80,2375,Ren,D,73,2369,Sophie,680,Perez,Elizabeth Schroeder,1874,AGRICULTURAL WIFE,,"1 Struthers Place, South Ayrshire",M,2375,2370,SYNTHETIC DATA PRODUCED USING VALIPOP,2375,Paulauskas
,3687,William,N42.90,,OCTOBER,3686,,1893,,COTTON WEAVER,,3688,973,Shevchenko,28,B,N30.90,3688,Andreas,,73,3686,Tereza,,,,,,,"1 Pier Road, Largs, North Ayrshire",M,3688,3687,SYNTHETIC DATA PRODUCED USING VALIPOP,3688,Shevchenko
,3955,Jack,R52.90,,NOVEMBER,3954,,1895,,RETIRED SHIP MASTER,,3956,1056,Arben,8,B,,3956,Josef,,76,3954,Grace,,,,,,,"1 Cypress Road, Carfin, North Lanarkshire",M,3956,3955,SYNTHETIC DATA PRODUCED USING VALIPOP,3956,Arben
D,1506,Samuel,F10.00,,JANUARY,1827,765,1874,2102,LABOURER IRON WORK,,2055,508,Kristiansen,15,M,,2055,Robert,D,53,1827,Margaret,765,Fernandez,Janet Rossi,2102, ,,"1 Gearraidh Gadhal, Na h-Eileanan Siar",M,2055,1506,SYNTHETIC DATA PRODUCED USING VALIPOP,2055,Kristiansen
D,2488,Artjom,N30.90,,SEPTEMBER,2487,748,1883,2256,CROFTER & FISHERMAN,,2493,636,Soto,1,W,,2493,Daniel,D,62,2487,Ellie,748,Angelov,Maggie Sanchez,2256,MACHINIST WIFE,,"1 Whinnyhouse, Scottish Borders",M,2493,2488,SYNTHETIC DATA PRODUCED USING VALIPOP,2493,Soto
,2611,Matthew,R54.05,,MARCH,2610,829,1897,1946,TENNANT OF LANDS,,2614,673,Virtanen,23,W,,2614,William,,77,2610,Emily,829,Kiss,Isabella Markovic,1946,DOMESTIC SERV,,"2 Hope Street, Blackhouse, Peterhead",M,2614,2611,SYNTHETIC DATA PRODUCED USING VALIPOP,2614,Virtanen
D,1376,Samuel,A16.91,,SEPTEMBER,1595,784,1856,2464,GROOM,,2075,512,Prochazka,25,M,,2075,James,,35,1595,Christina,784,STEWART,Marie Brown,2464, ,,"1 Golf Course Road, Girvan, South Ayrshire",M,2075,1376,SYNTHETIC DATA PRODUCED USING VALIPOP,2075,Prochazka
,1556,John,K30.00,,FEBRUARY,1405,734,1861,2334,GARDINER,,2079,515,Visser,28,M,K63.91,2079,Edward,D,39,1405,Mary,734,Martinez,Ann Harutyunyan,2334,SEAMSTRESS,K65.90,"1 Union Street, Scottish Borders",M,2079,1556,SYNTHETIC DATA PRODUCED USING VALIPOP,2079,Visser
,3017,James,J11.10,,DECEMBER,3016,785,1890,3007,GROCER'S CLERK,,3006,787,Dvorak,31,M,,3006,Michael,,69,3016,Martina,785,,Sophie Brankov,3007, ,,"1 Maconochie Place, Broadsea, Fraserburgh",M,3006,3017,SYNTHETIC DATA PRODUCED USING VALIPOP,3006,Mohamed
D,2085,Piotr,G83.90,,JANUARY,2084,763,1878,2361,FARMER'S WIFE,,2086,517,Davidov,11,R,,2086,Camille,D,63,2084,Katerina,763,Perez,Guiseggio Visser,2361,AG LAB,,"49 Whitehaugh Park, Kittlegairy Estate, Peebles",F,2086,2085,SYNTHETIC DATA PRODUCED USING VALIPOP,2086,Davidov
D,1506,Samuel,G83.90,,OCTOBER,1827,1018,1901,3214,LINEN WEAVER,,2103,508,Kristiansen,18,W,,2103,John,D,79,1827,Margaret,1018,Fernandez,Antonia Petrauskas,3214, ,,"2 Bail Ur, Highland",M,2103,1506,SYNTHETIC DATA PRODUCED USING VALIPOP,2103,Kristiansen
D,2213,Arnas,R54.04,,OCTOBER,2212,772,1901,2613,COLLIER,,2214,557,Brankov,24,W,,2214,Andrej,D,78,2212,Ella,772,Jarvinen,Emma Virtanen,2613,TENANT OF 4 ACRES OF LAND,,"1 Coplandhill, Aberdeenshire",M,2214,2213,SYNTHETIC DATA PRODUCED USING VALIPOP,2214,Brankov
D,2312,Rasmus,R54.05,,MAY,2311,,1905,,FORMERLY AG LAB,,2316,582,Hernandez,12,B,,2316,Tobias,D,82,2311,Catarina,,Rivera,,,,,"1 Nicol Place, Jessiehill Cottages, Broxburn",M,2316,2312,SYNTHETIC DATA PRODUCED USING VALIPOP,2316,Hernandez
,2370,Benjamin,R54.05,,APRIL,2369,741,1905,2122,SEAMAN,,2374,601,Paulauskas,7,W,J11.10,2374,Antanas,D,82,2369,Sophie,741,Perez,Ellen Markovic,2122,PAUPER,,"153 Torwoodhill Road, Argyll and Bute",M,2374,2370,SYNTHETIC DATA PRODUCED USING VALIPOP,2374,Paulauskas
D,3246,Aaron,A75.90,,APRIL,3245,,1905,,FARMER OF 166 ACRES EMPLOYING 2 LABOURERS,,3249,853,Kovalchuk,12,B,,3249,Nikita,D,83,3245,Anna,,Kavaliauskas,,,,,"1 Camusterrach Place, Highland",M,3249,3246,SYNTHETIC DATA PRODUCED USING VALIPOP,3249,Kovalchuk
,3308,Pedro,R54.05,,APRIL,3307,957,1906,2826,CROFTER,,3309,868,Mulder,21,M,,3309,Conor,,83,3307,Aada,957,,Isabella Jones,2826,VISITOR,,"45 Stewart Place, East Ayrshire",M,3309,3308,SYNTHETIC DATA PRODUCED USING VALIPOP,3309,Mulder
D,1312,Robe4t,A16.93,,MARCH,1225,804,1863,2428,IRONMONGER LAB,,2117,440,Larssno,20,missing,,2117,William,missing,39,1225,Guorun,804,Schulz,Michela Jones,2428, ,,"2 Darley Place, Troon, South Ayrshire",M,2117,1312,SYNTHETIC DATA PRODUCED USING VALIPOP,2117,Larsson
D,1230,George,R53.03,,FEBRUARY,1191,,1882,,WEAVER MIXT FABRICS,,2119,417,HUNTER,4,B,,2119,James,D,58,1191,Elizabeth,,Jensen,,,,,"2 Dallas Road, Troon, South Ayrshire",M,2119,1230,SYNTHETIC DATA PRODUCED USING VALIPOP,2119,HUNTER
D,1508,John,I51.90,,JANUARY,1441,814,1882,2464,GENERAL PORTER,,2127,513,WILLIAMS,18,M,,2127,George,D,58,1441,Annie,814,Popa,Marie Brown,2464,GROCER,,"2 Union Street, Scottish Borders",M,2127,1508,SYNTHETIC DATA PRODUCED USING VALIPOP,2127,WILLIAMS
D,1580,Patrick,K75.90,,APRIL,1555,808,1887,2526,AG LAB,,2129,528,Prochazka,4,W,,2129,Peter,D,63,1555,Elspet,808,DAVISON,Siiri Shevchuk,2526, ,,"1 Ritchie Place, Aberdeenshire",M,2129,1580,SYNTHETIC DATA PRODUCED USING VALIPOP,2129,Prochazka
