surname of groom,GROOM_FATHER_IDENTITY,if bride's father deceased,month,marital status of groom,BRIDE_IDENTITY,if bride's mother deceased,GROOM_IDENTITY,bride's mother's forename,year,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,address of groom,groom's father's surname,groom's mother's maiden surname,bride's father's surname,day,if groom's father deceased,surname of bride,gdeath,notes1,address of bride,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,if groom's mother deceased,BRIDE_FATHER_IDENTITY,age of groom,groom's mother's forename,age of bride,occupation of groom,bride's father's forename,groom's father's occupation,forename of groom,GROOM_FATHER_BIRTH_RECORD_IDENTITY,ID,bride's father's occupation,groom's father's forename,bride's mother's maiden surname,bdeath,forename of bride,GROOM_MOTHER_IDENTITY,place of marriage,BRIDE_BIRTH_RECORD_IDENTITY,occupation of bride,marital status of bride,BRIDE_MOTHER_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY
Navarro,6252,,MAY,B,5938,,6254,Sarah,1970,6254,4935,"1 Braeview, South Broomage, Stenhousemuir",Navarro,Olsson,Lopez,13,,Lopez,6254,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Braeview, South Broomage, Stenhousemuir",5214,,4935,22,Clara,31,IRON MOULDER,James,WEST INDIA MERCHANT,Ethan,6252,2051,BRACE MAKER,William,Andersson,5938,Helen,6253,,5938,HAWKER,S,5214,6253
Harutyunyan,4711,,JANUARY,B,6048,,5933,Isabella,1970,5933,5205,"481 Low Road, Highland",Harutyunyan,Hernandez,Dumitru,16,,Dumitru,5933,SYNTHETIC DATA PRODUCED USING VALIPOP,"58 Douglas Square, Scottish Borders",5296,,5205,25,Ann,21,BOOT & SHOE MAKER,John,MERCHANT,Chas,4711,2052,OFFICER OF INLAND REVNUE (EXCISE),Peter,Larsson,6048,Ann,5054,Eden House Banff ,6048,HOUSE SERVT,S,5296,5054
Sanchez,5247,,AUGUST,B,6322,,6245,Jemima,1970,6245,5253,"3 Wooden, Scottish Borders",Sanchez,Wozniak,Wozniak,25,,Wozniak,6245,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Rathad na Horgh, Na h-Eileanan Siar",5672,,5253,18,Catherine,16,SCHOLAR,George,ACTOR,Thomas,5247,2063,CABINET MAKER (JOURNEYMAN),James,Nguyen,6322,Peggy,5502,Dalry North Ayrshire,6322,SCHOLAR,S,5672,5502
Paulauskas,2375,,MARCH,B,3009,,2925,Sophie,1872,2925,3006,"1 Mary Morrison Drive, Mauchline, East Ayrshire",Paulauskas,Schroeder,Mohamed,15,,Mohamed,2925,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Maconochie Place, Broadsea, Fraserburgh",3007,,3006,17,Elizabeth,16,SCHOLAR,Michael,COTTON WEAVER,James,2375,934,FURNACE FILLER (IRONWKS),Ren,Karlsson,3009,Reka,1874,Highland,3009,SCHOLAR,S,3007,1874
Robinson,3116,,JULY,B,2506,,3118,Hellen,1873,3118,1739,"12 Brunston Avenue, South Ayrshire",Robinson,,Williams,27,,Williams,3118,SYNTHETIC DATA PRODUCED USING VALIPOP,"12 Brunston Avenue, South Ayrshire",1722,,1739,38,Audrey,36,FRENCH POLISHER,James, ,Robin,3116,938,HOSIER & SHIRT MAKER,Sigurour,White,2506,Elesebeth,3117,,2506, ,W,1722,3117
Jones,2857,,MAY,W,2638,,2864,Elizabeth,1873,2864,2375,"1 James Campbell Road, Craigie, Ayr",Jones,Mayer,Paulauskas,20,,Paulauskas,2864,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 James Campbell Road, Craigie, Ayr",1874,,2375,44,Sara,33,SCUTCHER,Ren,DAIRYMAN,Pablo,2857,939,BLACKSMITH MASTER,Piotr,Schroeder,2638,Catherine,2858,,2638,DOMT SERVT,D,1874,2858
Sepp,1954,,OCTOBER,B,2720,,2697,Annie,1874,2697,2318,"1 Coleridge Avenue, Kirkfield, Bothwell",Sepp,WILLIAMS,Hernandez,13,,Hernandez,2697,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Garnock Street, Dalry, North Ayrshire",1990,,2318,30,Ann,29,SHIP CARPINTER,Cameron,HANDLOOM WEAVER,Alexr,1954,943,MASON'S LABOURER,Iker,Dubois,2720,Janet,1992,Girnick Scottish Borders,2720,DOMESTIC SERV,W,1990,1992
Hernandez,2318,,OCTOBER,B,2910,,2935,Ann,1874,2935,2079,"1 Cora Linn Court, North Ayrshire",Hernandez,Dubois,Visser,27,,Visser,2935,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Scaurs, Jedburgh, Scottish Borders",2334,,2079,18,Annie,19,SCHOLAR,Edward,MASON'S LABOURER,Philip,2318,944,GARDINER,Cameron,Harutyunyan,2910,Whelemina,1990,Calton Campbeltown ,2910,SCHOLAR,S,2334,1990
So?o,2491,missing,FEBRUARY,B,2912,,2829,Bridget,1874,2829,2653,"1 Weensmoore, Scottish Borders",Soto,Fernbandez,Rojas,27,,Rojas,2829,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Hayhill, Craigie, Ayr",2410,,2653,22,Elizabeth,19,PLOUGHMAN,Matthew,AG LAB,Wk,2491,945,WOOLEN WEAVER,Tyler,White,2912,Isobella,2202,Maybole South Ayrshire,2912,SCHOLAR,S,2410,2202
Rossi,3274,,MAY,B,2640,,3280,Ava,1875,3280,1857,"1 Caldra House, Scottish Borders",Rossi,Meier,Schroeder,24,,Schroeder,3280,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Benrig Manse, Scottish Borders",2217,,1857,27,Lea,29,TEACHER,Thomas,CATTLEMAN,Jozef,3274,950,TANNER,Tobias,Brankov,2640,Ann,3275,South Ayrshire,2640,COTTON WEAVER,S,2217,3275
Greco,2977,,MAY,B,3011,,2980,Sophie,1875,2980,3006,"1 Martin Terrace, Aberdeenshire",Greco,Molnar,Mohamed,13,,Mohamed,2980,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Maconochie Place, Broadsea, Fraserburgh",3007,,3006,19,Isabella,19,SCHOLAR,Michael,MASONS LABOURER,Ethan,2977,952,FURNACE FILLER (IRONWKS),Jeffrey,Karlsson,3011,Chloe,2978,Highland,3011,SCHOLAR,S,3007,2978
Markovic,1512,,SEPTEMBER,D,2718,,2438,Regina,1876,2438,2550,"1 Innerwood Road, Kilwinning, North Ayrshire",Markovic,GOODWIN,Novak,22,,Novak,2438,SYNTHETIC DATA PRODUCED USING VALIPOP,"105 Courthill Street, Dalry, North Ayrshire",2551,,2550,41,Jean,32,PLOUGHMAN,Tim,SHOEMAKER (EMPLOYING 1 MAN),Alexander,1512,956,SEAMAN MERCHANT SERVICE,Matthew,Chin,2718,Agnes,1438,,2718, ,S,2551,1438
Mulder,3307,,MAY,?,2826,,3309,Maria,1876,3309,2429,"142 Pikeman Road, Knighyswood, Glasgow City",Mulder,,Jones,14,,Jones,3309,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 St Margaret's Drive, West End, Hawick",2128,,2429,50,Aada,24,F,Olivier, ,Conor,3307,957,BUTLER,Pedro,Delic,2826,Isabella,3308,Easy Ayrshire,2826,DAIRYMAID,S,2128,3308
Poulsen,6175,,JULY,B,6325,,6179,Rowena,1971,6179,6323,"1 Chamberlain Street, Northbank Farm Steadings, St Andrews",Poulsen,Stefanov,Sanchez,6,,Sanchez,6179,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Ewart Walk, The Crichton, Dumfries and Galloway",6324,,6323,28,Alva,17,PLOUGHMAN,William,SHOEMAKER (JOURNEYMAN),Samuel,6175,2070, ,James,,6325,Leire,6176,Braeleny Farm Callander ,6325,SCHOLAR,S,6324,6176
Grech,2053,,MAY,B,2908,,2879,Elizabeth,1876,2879,2491,"105 Glen Gardens, Braeleny Farm, Callander",Grech,Jones,Soto,18,,Soto,2879,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Weensmoore, Scottish Borders",2202,,2491,22,Aada,22,SHEPHERD,Tyler,SEAMAN,Peter,2053,958,AG LAB,George,Fernandez,2908,Jane,2430,South Ayrshire,2908,FUNDHOLDER,S,2202,2430
Larsson,1799,,NOVEMBER,B,2932,,2931,Emma,1876,2931,2239,"1 Douglas Gardens, Annan, Dumfries and Galloway",Larsson,WILLIAMS,Szabo,11,,Szabo,2931,SYNTHETIC DATA PRODUCED USING VALIPOP,"86 Bay View Terrace, Dumfries and Galloway",2006,,2239,21,Jane,21,RAILWAY CLERK,Andrea,A B SEAMAN,John,1799,959,FARMER OF 30 AC EMPL 1 BOY,Daniel,Larsen,2932,Mary,1942,Stranraer Dumfries and Galloway,2932,MILLINER,S,2006,1942
Larsson,3478,,SEPTEMBER,B,2948,,3480,Maggie,1876,3480,2493,"1 Macduff Place, Dufftown, Moray",Larsson,,Soto,27,,Soto,3480,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Whinnyhouse, Scottish Borders",2256,,2493,25,Laurence,21, ,Daniel,GARDENER,Javier,3478,960,CROFTER OF 8 ACRES,Jacob,Sanchez,2948,Isabella,3479,Portree Highland,2948, ,S,2256,3479
Morozov,3153,,OCTOBER,B,2390,,3155,Sofia,1877,3155,1551,"1 Hill Park, Haugh, Highland",Morozov,,Prochazka,7,,Prochazka,3155,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 The Lees, Scottish Borders",1705,,1551,27,Irena,40,BOOT CLOSER,George, ,Daniel,3153,966,CATTLE DEALER,William,Martinez,2390,Ann,3154,Coplandhill Aberdeenshire,2390, ,S,1705,3154
WILLIAMS,1817,,NOVEMBER,B,2638,,2597,Elizabeth,1877,2597,2375,"1 Berry Place, Northbank Farm Steadings, Fife",WILLIAMS,Abdullayev,Paulauskas,20,,Paulauskas,2597,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 James Campbell Road, Craigie, Ayr",1874,,2375,34,Eliza,33,PLOUGHMAN,Ren,FARMER OF 50 AC OR SO,Peter,1817,967,BLACKSMITH MASTER,John,Schroeder,2638,Catherine,1876,Argyll and Bute,2638,DOMT SERVT,D,1874,1876
WILLIAMS,1817,,OCTOBER,B,3281,,2819,?ea,1877,2819,3274,"1 Berry Place, Northbank Farm Steadings, Fife",WILLIAMS,Abdullayev,Rossi,25,,Fatma,2819,SYNTHETIC DATA PRODUCED USING VALIPOP,"13 Kinneil Park, Croc, North Ayrshire",3275,,3274,26,Eliza,31,SEAMAN,Tobias,FARMER OF 50 AC OR SO,William,1817,968,CATTLEMAN,John,Meier,3281,Rossi,1876,Three Bridfes Inveraray ,3281,FAMILY SERVANT,missing,3275,1876
George,1995,,OCTOBER,B,2860,,2801,Sara,1877,2801,2857,"1 Girnick, Scottish Borders",Sanchez,Antonia,Jones,20,,Jojes,2801,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Whistleberry Wynd, Whitehill, Bothwell",2858,,2857,25,Soto,25,JOINER,Piotr,FISHCURER,Sanchez,1995,969,DAIRYMAN,David,Mayer,2860,Miu,2492,Troon South Ayrshire,2860,LAUNDRY MAID,missing,2858,2492
Visser,2175,,JULY,B,2992,,2997,Betsy,1877,2997,2517,"572 Moss Road, Scottish Borders",Visser,Fernandez,Sepp,7,,Sepp,2997,SYNTHETIC DATA PRODUCED USING VALIPOP,"231 Braemar Gardens, Nether Stenton, Glenrothes",2130,,2517,20,Mary,20,STONE MASON,William,LINNEN WEAVER,William,2175,970,HOSTLER,Alexander,de Boer,2992,Catherine,2154,Clackmannanshire,2992,HOUSEMAID,S,2130,2154
